codigo,nombre,descripcion,tipo
MB001,Mesa Redonda,Mesa de madera para reuniones de hasta 6 personas,Menaje
MB002,Silla Ergonómica,Silla ajustable con soporte lumbar,Menaje
MB003,Proyector LED,Proyector LED con resolución 1080p,Electrónico
MB004,Pizarra Blanca,Pizarra blanca con soporte y borrador,Menaje
MB005,Cable HDMI,Cable HDMI de 5 metros,Consumible
MB006,Altavoz Bluetooth,Altavoz portátil con conexión Bluetooth,Electrónico
MB007,Taza Cerámica,Taza de cerámica para café o té,Menaje
MB008,Extensión Eléctrica,Extensión con 6 salidas,Consumible
MB009,Micrófono Inalámbrico,Micrófono con receptor inalámbrico,Electrónico
MB010,Reloj de Pared,Reloj de pared silencioso,Menaje
MB011,Tablero de Cortar,Tablero de madera para preparar alimentos,Menaje
MB012,Silla de Oficina,Silla ajustable para uso en escritorio,Menaje
MB013,Lámpara de Escritorio,Lámpara LED con múltiples intensidades,Electrónico
MB014,Monitor 24'',Monitor LED de 24 pulgadas,Electrónico
MB015,Teclado Inalámbrico,Teclado Bluetooth para conexión con dispositivos,Electrónico
MB016,Proyector de Papel,Proyector de papel para presentaciones,Menaje
MB017,Organizador de Escritorio,Soporte para mantener el escritorio ordenado,Menaje
MB018,Mesa Auxiliar,Mesa pequeña para acompañar asientos,Menaje
MB019,Cargador Inalámbrico,Cargador para dispositivos móviles sin cables,Electrónico
MB020,Soporte para Laptop,Soporte ajustable para laptops,Menaje
